"congress","senator_name","senator_party","senator_state"
"101st","Richard Bryan","D","NV"
"101st","Pat Moynihan","D","NY"
"101st","Al D'Amato","R","NY"
"101st","John Glenn","D","OH"
"101st","Howard Metzenbaum","D","OH"
"101st","David L. Boren","D","OK"
"101st","Don Nickles","R","OK"
"101st","Mark Hatfield","R","OR"
"101st","Bob Packwood","R","OR"
"101st","H. John Heinz III","R","PA"
"101st","Arlen Specter","R","PA"
"101st","Claiborne Pell","D","RI"
"101st","John Chafee","R","RI"
"101st","Strom Thurmond","R","SC"
"101st","Ernest Hollings","D","SC"
"101st","Larry Pressler","R","SD"
"101st","Tom Daschle","D","SD"
"101st","Jim Sasser","D","TN"
"101st","Al Gore","D","TN"
"101st","Lloyd Bentsen","D","TX"
"101st","Phil Gramm","R","TX"
"101st","Jake Garn","R","UT"
"101st","Orrin Hatch","R","UT"
"101st","John Warner","R","VA"
"101st","Chuck Robb","D","VA"
"101st","Patrick Leahy","D","VT"
"101st","Jim Jeffords","R","VT"
"101st","Brock Adams","D","WA"
"101st","Slade Gorton","R","WA"
"101st","Bob Kasten","R","WI"
"101st","Herb Kohl","D","WI"
"101st","Robert Byrd","D","WV"
"101st","Jay Rockefeller","D","WV"
"101st","Malcolm Wallop","R","WY"
"101st","Alan K. Simpson","R","WY"
"100th","Ted Stevens","R","AK"
"100th","Frank Murkowski","R","AK"
"100th","Howell Heflin","D","AL"
"100th","Richard Shelby","D","AL"
"100th","Dale Bumpers","D","AR"
"100th","David Pryor","D","AR"
"100th","Dennis DeConcini","D","AZ"
"100th","John McCain","R","AZ"
"100th","Alan Cranston","D","CA"
"100th","Pete Wilson","R","CA"
"100th","William L. Armstrong","R","CO"
"100th","Tim Wirth","D","CO"
"100th","Lowell Weicker","R","CT"
"100th","Chris Dodd","D","CT"
"100th","Bill Roth","R","DE"
"100th","Joe Biden","D","DE"
"100th","Lawton Chiles","D","FL"
"100th","Bob Graham","D","FL"
"100th","Sam Nunn","D","GA"
"100th","Wyche Fowler","D","GA"
"100th","Daniel Inouye","D","HI"
"100th","Spark Matsunaga","D","HI"
"100th","Chuck Grassley","R","IA"
"100th","Tom Harkin","D","IA"
"100th","James A. McClure","R","ID"
"100th","Steve Symms","R","ID"
"100th","Alan J. Dixon","D","IL"
"100th","Paul Simon","D","IL"
"100th","Richard Lugar","R","IN"
"100th","Dan Quayle","R","IN"
"100th","Bob Dole","R","KS"
"100th","Nancy Kassebaum Baker","R","KS"
"100th","Wendell H. Ford","D","KY"
"100th","Mitch McConnell","R","KY"
"100th","Bennett Johnston Jr.","D","LA"
"100th","John Breaux","D","LA"
"100th","Ted Kennedy","D","MA"
"100th","John Kerry","D","MA"
"100th","Paul Sarbanes","D","MD"
"100th","Barbara Mikulski","D","MD"
"100th","William Cohen","R","ME"
"100th","George J. Mitchell","D","ME"
"100th","Donald W. Riegle, Jr.","D","MI"
"100th","Carl Levin","D","MI"
"100th","David Durenberger","R","MN"
"100th","Rudy Boschwitz","R","MN"
"100th","John Danforth","R","MO"
"100th","Kit Bond","R","MO"
"100th","John C. Stennis","D","MS"
"100th","Thad Cochran","R","MS"
"100th","John Melcher","D","MT"
"100th","Max Baucus","D","MT"
"100th","Jesse Helms","R","NC"
"100th","Terry Sanford","D","NC"
"100th","Quentin Northrup Burdick","D","ND"
"100th","Kent Conrad","D","ND"
"100th","Edward Zorinsky","D","NE"
"100th","J. James Exon","D","NE"
"100th","David Karnes","R","NE"
"100th","Gordon J. Humphrey","R","NH"
"100th","Warren Rudman","R","NH"
"100th","Bill Bradley","D","NJ"
"100th","Frank Lautenberg","D","NJ"
"100th","Pete Domenici","R","NM"
"100th","Jeff Bingaman","D","NM"
"100th","Chic Hecht","R","NV"
"100th","Harry Reid","D","NV"
"100th","Pat Moynihan","D","NY"
"100th","Al D'Amato","R","NY"
"100th","John Glenn","D","OH"
"100th","Howard Metzenbaum","D","OH"
"100th","David L. Boren","D","OK"
"100th","Don Nickles","R","OK"
"100th","Mark Hatfield","R","OR"
"100th","Bob Packwood","R","OR"
"100th","H. John Heinz III","R","PA"
"100th","Arlen Specter","R","PA"
"100th","Claiborne Pell","D","RI"
"100th","John Chafee","R","RI"
"100th","Strom Thurmond","R","SC"
"100th","Ernest Hollings","D","SC"
"100th","Larry Pressler","R","SD"
"100th","Tom Daschle","D","SD"
"100th","Jim Sasser","D","TN"
"100th","Al Gore","D","TN"
"100th","Lloyd Bentsen","D","TX"
"100th","Phil Gramm","R","TX"
"100th","Jake Garn","R","UT"
"100th","Orrin Hatch","R","UT"
"100th","John Warner","R","VA"
"100th","Paul Trible","R","VA"
"100th","Robert Stafford","R","VT"
"100th","Patrick Leahy","D","VT"
"100th","Daniel J. Evans","R","WA"
"100th","Brock Adams","D","WA"
"100th","William Proxmire","D","WI"
"100th","Bob Kasten","R","WI"
"100th","Robert Byrd","D","WV"
"100th","Jay Rockefeller","D","WV"
"100th","Malcolm Wallop","R","WY"
"100th","Alan K. Simpson","R","WY"
"99th","Ted Stevens","R","AK"
"99th","Frank Murkowski","R","AK"
"99th","Howell Heflin","D","AL"
"99th","Jeremiah Denton","R","AL"
"99th","Dale Bumpers","D","AR"
"99th","David Pryor","D","AR"
"99th","Barry Goldwater","R","AZ"
"99th","Dennis DeConcini","D","AZ"
"99th","Alan Cranston","D","CA"
"99th","Pete Wilson","R","CA"
"99th","Gary Hart","D","CO"
"99th","William L. Armstrong","R","CO"
"99th","Lowell Weicker","R","CT"
"99th","Chris Dodd","D","CT"
"99th","Bill Roth","R","DE"
"99th","Joe Biden","D","DE"
"99th","Lawton Chiles","D","FL"
"99th","Paula Hawkins","R","FL"
"99th","Sam Nunn","D","GA"
"99th","Mack Mattingly","R","GA"
"99th","Daniel Inouye","D","HI"
"99th","Spark Matsunaga","D","HI"
"99th","Chuck Grassley","R","IA"
"99th","Tom Harkin","D","IA"
"99th","James A. McClure","R","ID"
"99th","Steve Symms","R","ID"
"99th","Alan J. Dixon","D","IL"
"99th","Paul Simon","D","IL"
"99th","Richard Lugar","R","IN"
"99th","Dan Quayle","R","IN"
"99th","Bob Dole","R","KS"
"99th","Nancy Kassebaum","R","KS"
"99th","Wendell H. Ford","D","KY"
"99th","Mitch McConnell","R","KY"
"99th","Russell B. Long","D","LA"
"99th","Bennett Johnston Jr.","D","LA"
"99th","Ted Kennedy","D","MA"
"99th","John Kerry","D","MA"
"99th","Charles Mathias","R","MD"
"99th","Paul Sarbanes","D","MD"
"99th","William Cohen","R","ME"
"99th","George J. Mitchell","D","ME"
"99th","Donald W. Riegle, Jr.","D","MI"
"99th","Carl Levin","D","MI"
"99th","David Durenberger","R","MN"
"99th","Rudy Boschwitz","R","MN"
"99th","Thomas Eagleton","D","MO"
"99th","John Danforth","R","MO"
"99th","John C. Stennis","D","MS"
"99th","Thad Cochran","R","MS"
"99th","John Melcher","D","MT"
"99th","Max Baucus","D","MT"
"99th","Jesse Helms","R","NC"
"99th","John Porter East","R","NC"
"99th","Jim Broyhill","R","NC"
"99th","Terry Sanford","D","NC"
"99th","Quentin Northrup Burdick","D","ND"
"99th","Mark Andrews","R","ND"
"99th","Edward Zorinsky","D","NE"
"99th","J. James Exon","D","NE"
"99th","Gordon J. Humphrey","R","NH"
"99th","Warren Rudman","R","NH"
"99th","Bill Bradley","D","NJ"
"99th","Frank Lautenberg","D","NJ"
"99th","Pete Domenici","R","NM"
"99th","Jeff Bingaman","D","NM"
"99th","Paul Laxalt","R","NV"
"99th","Chic Hecht","R","NV"
"99th","Daniel Patrick Moynihan","D","NY"
"99th","Al D'Amato","R","NY"
"99th","John Glenn","D","OH"
"99th","Howard Metzenbaum","D","OH"
"99th","David L. Boren","D","OK"
"99th","Don Nickles","R","OK"
"99th","Mark Hatfield","R","OR"
"99th","Bob Packwood","R","OR"
"99th","H. John Heinz III","R","PA"
"99th","Arlen Specter","R","PA"
"99th","Claiborne Pell","D","RI"
"99th","John Chafee","R","RI"
"99th","Strom Thurmond","R","SC"
"99th","Fritz Hollings","D","SC"
"99th","Larry Pressler","R","SD"
"99th","James Abdnor","R","SD"
"99th","Jim Sasser","D","TN"
"99th","Al Gore","D","TN"
"99th","Lloyd Bentsen","D","TX"
"99th","Phil Gramm","R","TX"
"99th","Jake Garn","R","UT"
"99th","Orrin Hatch","R","UT"
"99th","John Warner","R","VA"
"99th","Paul Trible","R","VA"
"99th","Robert Stafford","R","VT"
"99th","Patrick Leahy","D","VT"
"99th","Slade Gorton","R","WA"
"99th","Daniel J. Evans","R","WA"
"99th","William Proxmire","D","WI"
"99th","Bob Kasten","R","WI"
"99th","Robert Byrd","D","WV"
"99th","Jay Rockefeller","D","WV"
"99th","Malcolm Wallop","R","WY"
"99th","Alan K. Simpson","R","WY"
"98th","Ted Stevens","R","AK"
"98th","Frank Murkowski","R","AK"
"98th","Howell Heflin","D","AL"
"98th","Jeremiah Denton","R","AL"
"98th","Dale Bumpers","D","AR"
"98th","David Pryor","D","AR"
"98th","Barry Goldwater","R","AZ"
"98th","Dennis DeConcini","D","AZ"
"98th","Alan Cranston","D","CA"
"98th","Pete Wilson","R","CA"
"98th","Gary Hart","D","CO"
"98th","William L. Armstrong","R","CO"
"98th","Lowell Weicker","R","CT"
"98th","Chris Dodd","D","CT"
"98th","Bill Roth","R","DE"
"98th","Joe Biden","D","DE"
"98th","Lawton Chiles","D","FL"
"98th","Paula Hawkins","R","FL"
"98th","Sam Nunn","D","GA"
"98th","Mack Mattingly","R","GA"
"98th","Daniel Inouye","D","HI"
"98th","Spark Matsunaga","D","HI"
"98th","Roger Jepsen","R","IA"
"98th","Chuck Grassley","R","IA"
"98th","James A. McClure","R","ID"
"98th","Steve Symms","R","ID"
"98th","Charles H. Percy","R","IL"
"98th","Alan J. Dixon","D","IL"
"98th","Richard Lugar","R","IN"
"98th","Dan Quayle","R","IN"
"98th","Bob Dole","R","KS"
"98th","Nancy Kassebaum","R","KS"
"98th","Walter Huddleston","D","KY"
"98th","Wendell H. Ford","D","KY"
"98th","Russell B. Long","D","LA"
"98th","Bennett Johnston Jr.","D","LA"
"98th","Ted Kennedy","D","MA"
"98th","Paul Tsongas","D","MA"
"98th","John Kerry","D","MA"
"98th","Charles Mathias","R","MD"
"98th","Paul Sarbanes","D","MD"
"98th","William Cohen","R","ME"
"98th","George J. Mitchell","D","ME"
"98th","Donald W. Riegle, Jr.","D","MI"
"98th","Carl Levin","D","MI"
"98th","David Durenberger","R","MN"
"98th","Rudy Boschwitz","R","MN"
"98th","Thomas Eagleton","D","MO"
"98th","John Danforth","R","MO"
"98th","John C. Stennis","D","MS"
"98th","Thad Cochran","R","MS"
"98th","John Melcher","D","MT"
"98th","Max Baucus","D","MT"
"98th","Jesse Helms","R","NC"
"98th","John Porter East","R","NC"
"98th","Quentin Northrup Burdick","D","ND"
"98th","Mark Andrews","R","ND"
"98th","Edward Zorinsky","D","NE"
"98th","J. James Exon","D","NE"
"98th","Gordon J. Humphrey","R","NH"
"98th","Warren Rudman","R","NH"
"98th","Bill Bradley","D","NJ"
"98th","Frank Lautenberg","D","NJ"
"98th","Pete Domenici","R","NM"
"98th","Jeff Bingaman","D","NM"
"98th","Paul Laxalt","R","NV"
"98th","Chic Hecht","R","NV"
"98th","Daniel Patrick Moynihan","D","NY"
"98th","Al D'Amato","R","NY"
"98th","John Glenn","D","OH"
"98th","Howard Metzenbaum","D","OH"
"98th","David L. Boren","D","OK"
"98th","Don Nickles","R","OK"
"98th","Mark Hatfield","R","OR"
"98th","Bob Packwood","R","OR"
"98th","H. John Heinz III","R","PA"
"98th","Arlen Specter","R","PA"
"98th","Claiborne Pell","D","RI"
"98th","John Chafee","R","RI"
"98th","Strom Thurmond","R","SC"
"98th","Fritz Hollings","D","SC"
"98th","Larry Pressler","R","SD"
"98th","James Abdnor","R","SD"
"98th","Howard Baker","R","TN"
"98th","Jim Sasser","D","TN"
"98th","John Tower","R","TX"
"98th","Lloyd Bentsen","D","TX"
"98th","Jake Garn","R","UT"
"98th","Orrin Hatch","R","UT"
"98th","John Warner","R","VA"
"98th","Paul Trible","R","VA"
"98th","Robert Stafford","R","VT"
"98th","Patrick Leahy","D","VT"
"98th","Henry M. Jackson","D","WA"
"98th","Slade Gorton","R","WA"
"98th","Daniel J. Evans","R","WA"
"98th","William Proxmire","D","WI"
"98th","Bob Kasten","R","WI"
"98th","Jennings Randolph","D","WV"
"98th","Robert Byrd","D","WV"
"98th","Malcolm Wallop","R","WY"
"98th","Alan K. Simpson","R","WY"
"97th","Ted Stevens","R","AK"
"97th","Frank Murkowski","R","AK"
"97th","Howell Heflin","D","AL"
"97th","Jeremiah Denton","R","AL"
"97th","Dale Bumpers","D","AR"
"97th","David Pryor","D","AR"
"97th","Barry Goldwater","R","AZ"
"97th","Dennis DeConcini","D","AZ"
"97th","Alan Cranston","D","CA"
"97th","Samuel Hayakawa","R","CA"
"97th","Gary Hart","D","CO"
"97th","William L. Armstrong","R","CO"
"97th","Lowell Weicker","R","CT"
"97th","Chris Dodd","D","CT"
"97th","Bill Roth","R","DE"
"97th","Joe Biden","D","DE"
"97th","Lawton Chiles","D","FL"
"97th","Paula Hawkins","R","FL"
"97th","Sam Nunn","D","GA"
"97th","Mack Mattingly","R","GA"
"97th","Daniel Inouye","D","HI"
"97th","Spark Matsunaga","D","HI"
"97th","Roger Jepsen","R","IA"
"97th","Chuck Grassley","R","IA"
"97th","James A. McClure","R","ID"
"97th","Steve Symms","R","ID"
"97th","Charles H. Percy","R","IL"
"97th","Alan J. Dixon","D","IL"
"97th","Richard Lugar","R","IN"
"97th","Dan Quayle","R","IN"
"97th","Bob Dole","R","KS"
"97th","Nancy Kassebaum Baker","R","KS"
"97th","Walter Huddleston","D","KY"
"97th","Wendell H. Ford","D","KY"
"97th","Russell B. Long","D","LA"
"97th","Bennett Johnston Jr.","D","LA"
"97th","Ted Kennedy","D","MA"
"97th","Paul Tsongas","D","MA"
"97th","Charles Mathias","R","MD"
"97th","Paul Sarbanes","D","MD"
"97th","William Cohen","R","ME"
"97th","George J. Mitchell","D","ME"
"97th","Donald W. Riegle, Jr.","D","MI"
"97th","Carl Levin","D","MI"
"97th","David Durenberger","R","MN"
"97th","Rudy Boschwitz","R","MN"
"97th","Thomas Eagleton","D","MO"
"97th","John Danforth","R","MO"
"97th","John C. Stennis","D","MS"
"97th","Thad Cochran","R","MS"
"97th","John Melcher","D","MT"
"97th","Max Baucus","D","MT"
"97th","Jesse Helms","R","NC"
"97th","John Porter East","R","NC"
"97th","Quentin Northrup Burdick","D","ND"
"97th","Mark Andrews","R","ND"
"97th","Edward Zorinsky","D","NE"
"97th","J. James Exon","D","NE"
"97th","Gordon J. Humphrey","R","NH"
"97th","Warren Rudman","R","NH"
"97th","Harrison A. Williams","D","NJ"
"97th","Bill Bradley","D","NJ"
"97th","Nicholas F. Brady","R","NJ"
"97th","Frank Lautenberg","D","NJ"
"97th","Pete Domenici","R","NM"
"97th","Harrison Schmitt","R","NM"
"97th","Howard Cannon","D","NV"
"97th","Paul Laxalt","R","NV"
"97th","Pat Moynihan","D","NY"
"97th","Al D'Amato","R","NY"
"97th","John Glenn","D","OH"
"97th","Howard Metzenbaum","D","OH"
"97th","David L. Boren","D","OK"
"97th","Don Nickles","R","OK"
"97th","Mark Hatfield","R","OR"
"97th","Bob Packwood","R","OR"
"97th","H. John Heinz III","R","PA"
"97th","Arlen Specter","R","PA"
"97th","Claiborne Pell","D","RI"
"97th","John Chafee","R","RI"
"97th","Strom Thurmond","R","SC"
"97th","Ernest Hollings","D","SC"
"97th","Larry Pressler","R","SD"
"97th","James Abdnor","R","SD"
"97th","Howard Baker","R","TN"
"97th","Jim Sasser","D","TN"
"97th","John Tower","R","TX"
"97th","Lloyd Bentsen","D","TX"
"97th","Jake Garn","R","UT"
"97th","Orrin Hatch","R","UT"
"97th","Harry F. Byrd, Jr.","I","VA"
"97th","John Warner","R","VA"
"97th","Robert Stafford","R","VT"
"97th","Patrick Leahy","D","VT"
"97th","Henry M. Jackson","D","WA"
"97th","Slade Gorton","R","WA"
"97th","William Proxmire","D","WI"
"97th","Bob Kasten","R","WI"
"97th","Jennings Randolph","D","WV"
"97th","Robert Byrd","D","WV"
"97th","Malcolm Wallop","R","WY"
"97th","Alan K. Simpson","R","WY"
"96th","Ted Stevens","R","AK"
"96th","Mike Gravel","D","AK"
"96th","Donald W. Stewart","D","AL"
"96th","Howell Heflin","D","AL"
"96th","Jeremiah Denton","R","AL"
"96th","Dale Bumpers","D","AR"
"96th","David Pryor","D","AR"
"96th","Barry Goldwater","R","AZ"
"96th","Dennis DeConcini","D","AZ"
"96th","Alan Cranston","D","CA"
"96th","Samuel Hayakawa","R","CA"
"96th","Gary Hart","D","CO"
"96th","William L. Armstrong","R","CO"
"96th","Abraham A. Ribicoff","D","CT"
"96th","Lowell Weicker","R","CT"
"96th","Bill Roth","R","DE"
"96th","Joe Biden","D","DE"
"96th","Lawton Chiles","D","FL"
"96th","Richard Stone","D","FL"
"96th","Paula Hawkins","R","FL"
"96th","Herman Talmadge","D","GA"
"96th","Sam Nunn","D","GA"
"96th","Daniel Inouye","D","HI"
"96th","Spark Matsunaga","D","HI"
"96th","John Culver","D","IA"
"96th","Roger Jepsen","R","IA"
"96th","Frank Church","D","ID"
"96th","James A. McClure","R","ID"
"96th","Charles H. Percy","R","IL"
"96th","Adlai Stevenson III","D","IL"
"96th","Birch Bayh","D","IN"
"96th","Richard Lugar","R","IN"
"96th","Bob Dole","R","KS"
"96th","Nancy Kassebaum Baker","R","KS"
"96th","Walter Huddleston","D","KY"
"96th","Wendell H. Ford","D","KY"
"96th","Russell B. Long","D","LA"
"96th","Bennett Johnston Jr.","D","LA"
"96th","Ted Kennedy","D","MA"
"96th","Paul Tsongas","D","MA"
"96th","Charles Mathias","R","MD"
"96th","Paul Sarbanes","D","MD"
"96th","Edmund Muskie","D","ME"
"96th","William Cohen","R","ME"
"96th","George J. Mitchell","D","ME"
"96th","Donald W. Riegle, Jr.","D","MI"
"96th","Carl Levin","D","MI"
"96th","David Durenberger","R","MN"
"96th","Rudy Boschwitz","R","MN"
"96th","Thomas Eagleton","D","MO"
"96th","John Danforth","R","MO"
"96th","John C. Stennis","D","MS"
"96th","Thad Cochran","R","MS"
"96th","John Melcher","D","MT"
"96th","Max Baucus","D","MT"
"96th","Jesse Helms","R","NC"
"96th","Robert Burren Morgan","D","NC"
"96th","Milton Young","R","ND"
"96th","Quentin Northrup Burdick","D","ND"
"96th","Edward Zorinsky","D","NE"
"96th","J. James Exon","D","NE"
"96th","John Durkin","D","NH"
"96th","Gordon J. Humphrey","R","NH"
"96th","Warren Rudman","R","NH"
"96th","Harrison A. Williams","D","NJ"
"96th","Bill Bradley","D","NJ"
"96th","Pete Domenici","R","NM"
"96th","Harrison Schmitt","R","NM"
"96th","Howard Cannon","D","NV"
"96th","Paul Laxalt","R","NV"
"96th","Jacob K. Javits","R","NY"
"96th","Pat Moynihan","D","NY"
"96th","John Glenn","D","OH"
"96th","Howard Metzenbaum","D","OH"
"96th","Henry Bellmon","R","OK"
"96th","David L. Boren","D","OK"
"96th","Mark Hatfield","R","OR"
"96th","Bob Packwood","R","OR"
"96th","Richard Schweiker","R","PA"
"96th","H. John Heinz III","R","PA"
"96th","Claiborne Pell","D","RI"
"96th","John Chafee","R","RI"
"96th","Strom Thurmond","R","SC"
"96th","Ernest Hollings","D","SC"
"96th","George McGovern","D","SD"
"96th","Larry Pressler","R","SD"
"96th","Howard Baker","R","TN"
"96th","Jim Sasser","D","TN"
"96th","John Tower","R","TX"
"96th","Lloyd Bentsen","D","TX"
"96th","Jake Garn","R","UT"
"96th","Orrin Hatch","R","UT"
"96th","Harry F. Byrd, Jr.","I","VA"
"96th","John Warner","R","VA"
"96th","Robert Stafford","R","VT"
"96th","Patrick Leahy","D","VT"
"96th","Warren G. Magnuson","D","WA"
"96th","Henry M. Jackson","D","WA"
"96th","William Proxmire","D","WI"
"96th","Gaylord Nelson","D","WI"
"96th","Jennings Randolph","D","WV"
"96th","Robert Byrd","D","WV"
"96th","Malcolm Wallop","R","WY"
"96th","Alan K. Simpson","R","WY"
"95th","Ted Stevens","R","AK"
"95th","Mike Gravel","D","AK"
"95th","John Sparkman","D","AL"
"95th","James Allen","D","AL"
"95th","Maryon Allen","D","AL"
"95th","Donald W. Stewart","D","AL"
"95th","John Little McClellan","D","AR"
"95th","Dale Bumpers","D","AR"
"95th","Kaneaster Hodges","D","AR"
"95th","Barry Goldwater","R","AZ"
"95th","Dennis DeConcini","D","AZ"
"95th","Alan Cranston","D","CA"
"95th","Samuel Hayakawa","D","CA"
"95th","Floyd K. Haskell","D","CO"
"95th","Gary Hart","D","CO"
"95th","Abraham A. Ribicoff","D","CT"
"95th","Lowell Weicker","R","CT"
"95th","Bill Roth","R","DE"
"95th","Joe Biden","D","DE"
"95th","Lawton Chiles","D","FL"
"95th","Richard Stone","D","FL"
"95th","Herman Talmadge","D","GA"
"95th","Sam Nunn","D","GA"
"95th","Daniel Inouye","D","HI"
"95th","Spark Matsunaga","D","HI"
"95th","Richard C. Clark","D","IA"
"95th","John Culver","D","IA"
"95th","Frank Church","D","ID"
"95th","James A. McClure","R","ID"
"95th","Charles H. Percy","R","IL"
"95th","Adlai Stevenson III","D","IL"
"95th","Birch Bayh","D","IN"
"95th","Richard Lugar","R","IN"
"95th","James B. Pearson","R","KS"
"95th","Bob Dole","R","KS"
"95th","Nancy Kassebaum Baker","R","KS"
"95th","Walter Huddleston","D","KY"
"95th","Wendell H. Ford","D","KY"
"95th","Russell B. Long","D","LA"
"95th","Bennett Johnston Jr.","D","LA"
"95th","Ted Kennedy","D","MA"
"95th","Edward Brooke","R","MA"
"95th","Charles Mathias","R","MD"
"95th","Paul Sarbanes","D","MD"
"95th","Edmund Muskie","D","ME"
"95th","William Hathaway","D","ME"
"95th","Robert P. Griffin","R","MI"
"95th","Donald W. Riegle, Jr.","D","MI"
"95th","Hubert Humphrey","D","MN"
"95th","Wendell Anderson","D","MN"
"95th","Muriel Humphrey","D","MN"
"95th","David Durenberger","R","MN"
"95th","Rudy Boschwitz","R","MN"
"95th","Thomas Eagleton","D","MO"
"95th","John Danforth","R","MO"
"95th","James Eastland","D","MS"
"95th","John C. Stennis","D","MS"
"95th","Thad Cochran","R","MS"
"95th","Lee Metcalf","D","MT"
"95th","John Melcher","D","MT"
"95th","Paul G. Hatfield","D","MT"
"95th","Max Baucus","D","MT"
"95th","Jesse Helms","R","NC"
"95th","Robert Burren Morgan","D","NC"
"95th","Milton Young","R","ND"
"95th","Quentin Northrup Burdick","D","ND"
"95th","Carl Curtis","R","NE"
"95th","Edward Zorinsky","D","NE"
"95th","Thomas J. McIntyre","D","NH"
"95th","John Durkin","D","NH"
"95th","Clifford P. Case","R","NJ"
"95th","Harrison A. Williams","D","NJ"
"95th","Pete Domenici","R","NM"
"95th","Harrison Schmitt","R","NM"
"95th","Howard Cannon","D","NV"
"95th","Paul Laxalt","R","NV"
"95th","Jacob K. Javits","R","NY"
"95th","Pat Moynihan","D","NY"
"95th","John Glenn","D","OH"
"95th","Howard Metzenbaum","D","OH"
"95th","Henry Bellmon","R","OK"
"95th","Dewey F. Bartlett","R","OK"
"95th","Mark Hatfield","R","OR"
"95th","Bob Packwood","R","OR"
"95th","Richard Schweiker","R","PA"
"95th","H. John Heinz III","R","PA"
"95th","Claiborne Pell","D","RI"
"95th","John Chafee","R","RI"
"95th","Strom Thurmond","R","SC"
"95th","Ernest Hollings","D","SC"
"95th","George McGovern","D","SD"
"95th","James Abourezk","D","SD"
"95th","Howard Baker","R","TN"
"95th","Jim Sasser","D","TN"
"95th","John Tower","R","TX"
"95th","Lloyd Bentsen","D","TX"
"95th","Jake Garn","R","UT"
"95th","Orrin Hatch","R","UT"
"95th","Harry F. Byrd, Jr.","I","VA"
"95th","William L. Scott","R","VA"
"95th","John Warner","R","VA"
"95th","Robert Stafford","R","VT"
"95th","Patrick Leahy","D","VT"
"95th","Warren G. Magnuson","D","WA"
"95th","Henry M. Jackson","D","WA"
"95th","William Proxmire","D","WI"
"95th","Gaylord Nelson","D","WI"
"95th","Jennings Randolph","D","WV"
"95th","Robert Byrd","D","WV"
"95th","Clifford Hansen","R","WY"
"95th","Malcolm Wallop","R","WY"
"95th","Alan K. Simpson","R","WY"
"94th","Ted Stevens","R","AK"
"94th","Mike Gravel","D","AK"
"94th","John Sparkman","D","AL"
"94th","James Allen","D","AL"
"94th","John Little McClellan","D","AR"
"94th","Dale Bumpers","D","AR"
"94th","Paul Fannin","R","AZ"
"94th","Barry Goldwater","R","AZ"
"94th","Alan Cranston","D","CA"
"94th","John V. Tunney","D","CA"
"94th","Samuel Hayakawa","R","CA"
"94th","Floyd K. Haskell","D","CO"
"94th","Gary Hart","D","CO"
"94th","Abraham A. Ribicoff","D","CT"
"94th","Lowell Weicker","R","CT"
"94th","Bill Roth","R","DE"
"94th","Joe Biden","D","DE"
"94th","Lawton Chiles","D","FL"
"94th","Richard Stone","D","FL"
"94th","Herman Talmadge","D","GA"
"94th","Sam Nunn","D","GA"
"94th","Hiram Fong","R","HI"
"94th","Daniel Inouye","D","HI"
"94th","Richard C. Clark","D","IA"
"94th","John Culver","D","IA"
"94th","Frank Church","D","ID"
"94th","James A. McClure","R","ID"
"94th","Charles H. Percy","R","IL"
"94th","Adlai Stevenson III","D","IL"
"94th","Vance Hartke","D","IN"
"94th","Birch Bayh","D","IN"
"94th","James B. Pearson","R","KS"
"94th","Bob Dole","R","KS"
"94th","Walter Huddleston","D","KY"
"94th","Wendell H. Ford","D","KY"
"94th","Russell B. Long","D","LA"
"94th","Bennett Johnston Jr.","D","LA"
"94th","Ted Kennedy","D","MA"
"94th","Edward Brooke","R","MA"
"94th","Charles Mathias","R","MD"
"94th","John Glenn Beall, Jr.","R","MD"
"94th","Edmund Muskie","D","ME"
"94th","William Hathaway","D","ME"
"94th","Philip Hart","D","MI"
"94th","Robert P. Griffin","R","MI"
"94th","Donald W. Riegle, Jr.","D","MI"
"94th","Walter Mondale","D","MN"
"94th","Hubert Humphrey","D","MN"
"94th","Wendell Anderson","D","MN"
"94th","Stuart Symington","D","MO"
"94th","Thomas Eagleton","D","MO"
"94th","John Danforth","R","MO"
"94th","James Eastland","D","MS"
"94th","John C. Stennis","D","MS"
"94th","Mike Mansfield","D","MT"
"94th","Lee Metcalf","D","MT"
"94th","Jesse Helms","R","NC"
"94th","Robert Burren Morgan","D","NC"
"94th","Milton Young","R","ND"
"94th","Quentin Northrup Burdick","D","ND"
"94th","Roman Hruska","R","NE"
"94th","Carl Curtis","R","NE"
"94th","Edward Zorinsky","D","NE"
"94th","Thomas J. McIntyre","D","NH"
"94th","Norris Cotton","R","NH"
"94th","John Durkin","D","NH"
"94th","Clifford P. Case","R","NJ"
"94th","Harrison A. Williams","D","NJ"
"94th","Joseph Montoya","D","NM"
"94th","Pete Domenici","R","NM"
"94th","Howard Cannon","D","NV"
"94th","Paul Laxalt","R","NV"
"94th","Jacob K. Javits","R","NY"
"94th","James L. Buckley","R","NY"
"94th","Robert Taft, Jr.","R","OH"
"94th","John Glenn","D","OH"
"94th","Howard Metzenbaum","D","OH"
"94th","Henry Bellmon","R","OK"
"94th","Dewey F. Bartlett","R","OK"
"94th","Mark Hatfield","R","OR"
"94th","Bob Packwood","R","OR"
"94th","Hugh Scott","R","PA"
"94th","Richard Schweiker","R","PA"
"94th","John O. Pastore","D","RI"
"94th","Claiborne Pell","D","RI"
"94th","John Chafee","R","RI"
"94th","Strom Thurmond","R","SC"
"94th","Ernest Hollings","D","SC"
"94th","George McGovern","D","SD"
"94th","James Abourezk","D","SD"
"94th","Howard Baker","R","TN"
"94th","Bill Brock","R","TN"
